No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
2073,The Birches,Slow decreasing,2.706978114,0.365457514,26,10/1/1978,10/1/2003
2074,Brightwalton Common,Slow decreasing,2.4275,0.06584489,41,10/1/1982,10/1/2022
2075,Bush Farm,Slow increasing,-31.21474359,0.99264996,38,10/1/1979,10/1/2016
2076,Kemps Sandstone,Sudden upward change,-2.741414835,0.844918462,11,10/1/1991,10/1/2001
2077,East Winch Common,No trend,0.570833333,0.059036017,8,10/1/2014,10/1/2021
2078,Soles Farm,No trend,-0.7,0.073612598,14,10/1/1997,10/1/2010
2079,Kingsley,Slow increasing,-10.16489923,0.640433621,27,10/1/1997,10/1/2023
2080,Mill Hill,No trend,0.20736224,0.312639423,1,10/1/1989,10/1/1989
2081,Martins Corner,Slow increasing,-3.251787102,0.301183135,2,10/1/2005,10/1/2006
2082,Hawes Green,No trend,0.382142857,0.042038366,21,10/1/2002,10/1/2022
2083,Willaston,Slow increasing,-13.58333333,0.83335448,25,10/1/1996,10/1/2020
2084,Dumpling Green,No trend,-0.280238687,0.398287673,12,10/1/2005,10/1/2016
2086,High Hatton,Sudden downward change,4.74381017,0.766798929,4,10/1/2015,10/1/2018
2087,Wiggins,Slow increasing,-7.045248779,0.630748389,46,10/1/1975,10/1/2020
2088,East Wickham,No trend,0.4890625,0.009346815,36,10/1/1988,10/1/2023
2089,Great Massingham,No trend,0.314621849,0.000969666,36,10/1/1979,10/1/2014
2090,Woodhouse Grange,No trend,-1.964525655,0.425903472,11,10/1/1997,10/1/2007
2091,Sallowvallets,Slow increasing,-56.67615298,0.784329598,24,10/1/1993,10/1/2016
2092,Larlingford,No trend,0.444444444,0.137169036,1,10/1/2002,10/1/2002
2093,Grindale,Slow increasing,-6.195833333,0.350210947,36,10/1/1988,10/1/2023
2094,Little Down,No trend,-1.937020539,0.020056382,22,10/1/1988,10/1/2009
2095,Thrintoft,Slow decreasing,6.597925063,0.830805431,20,10/1/1978,10/1/1997
2096,Woodland View,Slow decreasing,3.095337995,0.134377776,17,10/1/2000,10/1/2016
2097,Garston,No trend,-1.601851852,0.463339045,43,10/1/1980,10/1/2022
2098,Castle carrock,Slow increasing,-4.404050223,0.220710194,1,10/1/2010,10/1/2010
2099,Hogstock Cottages,Slow increasing,-2.308286951,0.047678773,17,10/1/1991,10/1/2007
2100,Skippers Lane,No trend,-0.263888889,0.000267824,17,10/1/2005,10/1/2021
2101,Wayland Wood,Slow decreasing,2.282850281,0.114261694,10,10/1/2009,10/1/2018
2102,West Marden Farm,Slow increasing,-3.4978125,0.151152414,2,10/1/2022,10/1/2023
2103,Shacklewell Hollow Pond,No trend,-0.520776515,0.157179984,22,10/1/1998,10/1/2019
2104,Creeton,No trend,-0.705871212,0.045786456,49,10/1/1975,10/1/2023
2105,Hucklow,No trend,-1.537548536,0.028416613,56,10/1/1968,10/1/2023
2107,Coxs 6,Slow decreasing,2.229545455,0.350617387,30,10/1/1993,10/1/2022
2108,Keeper Cottage,No trend,-1.097222222,0.463251662,26,10/1/1997,10/1/2022
2109,Parsonage Farm,Slow decreasing,10.82528409,0.202719674,14,10/1/2009,10/1/2022
2110,Portsdown,Slow increasing,-3.401041667,0.049716088,18,10/1/2006,10/1/2023
2111,Stoke Petsey,No trend,-0.819868827,0.655385782,12,10/1/2004,10/1/2015
